,song,all,male,female
0,blues.00065.au,7.510312218,8.489799636,-16.03594593
1,country.00014.au,5.690612587,-9.469108761,4.270053644
2,rock.00075.au,7.554343952,2.074969342,-14.50739421
3,hiphop.00012.au,26.65757495,15.89584992,-8.762414501
4,rock.00034.au,45.93501156,-4.035380259,-3.927694498
5,jazz.00060.au,-28.56758502,5.237077661,8.378017421
6,rock.00032.au,45.94611865,-0.954496037,-4.312072656
7,jazz.00045.au,-38.71746414,3.642350362,15.40250724
8,jazz.00020.au,-64.0890266,-9.599030201,13.2417022
9,blues.00053.au,23.65412186,17.50389621,-12.60030451
10,disco.00038.au,33.11406481,-9.073869113,1.797334016
11,pop.00011.au,-36.26088851,-7.996482012,10.36401406
12,hiphop.00072.au,7.283790346,-4.408141233,10.58857108
13,reggae.00033.au,-42.09329813,-10.39167311,0.756896095
14,reggae.00034.au,-39.85825085,-5.715103003,11.74476801
15,blues.00060.au,24.13629885,13.4780364,-7.883065018
16,rock.00085.au,-26.0951131,-8.169075118,-1.154481467
17,reggae.00062.au,-47.46932143,-11.95959919,3.211970124
18,rock.00063.au,-54.88672065,-11.0025701,5.979538996
19,reggae.00019.au,-18.84766026,-4.303058277,2.241227851
20,country.00008.au,48.00126586,-1.694277096,-3.99889443
21,blues.00011.au,-48.94685821,-8.511898787,10.5936858
22,hiphop.00041.au,38.74418003,-8.291763223,8.211238647
23,blues.00020.au,-37.7813993,-1.72156238,3.977298264
24,reggae.00041.au,-19.24864671,-9.192560167,-4.219412748
25,pop.00060.au,59.08985385,-13.92281551,8.253377797
26,reggae.00095.au,38.67337079,-9.175673876,4.243533057
27,rock.00051.au,40.3782299,-12.82918864,3.011640939
28,country.00096.au,22.77804017,17.42674314,-3.433072595
29,disco.00094.au,0.293235041,4.225570509,-6.456582557
30,blues.00082.au,38.69563194,16.50768732,-10.95007557
31,disco.00047.au,-51.69109312,0.541466033,7.85542117
32,jazz.00075.au,34.00888203,-10.68302915,-0.198127093
33,country.00060.au,-20.09028022,-0.115189648,1.747771716
34,metal.00040.au,19.22405465,11.77382614,-20.78871634
35,classical.00053.au,6.576949329,17.07549304,2.100942508
36,metal.00030.au,19.51021533,15.00235985,-2.895652602
37,blues.00004.au,-18.47966454,12.47513298,6.819828383
38,blues.00098.au,13.01078425,12.62315556,-15.09624989
39,disco.00001.au,47.00435436,-6.442935287,-4.746518677
40,hiphop.00050.au,9.269382766,-6.235117169,11.64691012
41,hiphop.00029.au,37.66738842,-12.96617895,-2.593830839
42,blues.00021.au,-43.94912696,-1.052039239,4.603986314
43,reggae.00087.au,25.87608474,-14.51339548,7.913001623
44,classical.00025.au,-41.21530272,2.474435385,12.88859715
45,jazz.00011.au,-26.8549752,-4.135463433,3.95208411
46,pop.00059.au,41.65047107,-27.41620665,-3.925341906
47,blues.00059.au,22.56254481,6.008273719,-13.05361427
48,pop.00029.au,48.74169559,-3.267525992,3.864379477
49,blues.00084.au,36.22420895,19.94224584,-10.65218624
50,classical.00074.au,-51.89999313,-2.409992904,12.78859599
51,blues.00093.au,-58.62443282,-10.62332728,13.48837838
52,jazz.00043.au,-16.35139775,13.13139718,-6.215640451
53,country.00091.au,-24.86369836,2.834984336,8.112141658
54,rock.00066.au,-38.61182158,-10.75316238,8.063233979
55,hiphop.00094.au,-21.11499884,-6.672855244,0.379544147
56,hiphop.00015.au,21.50197135,2.048124124,-9.705442639
57,blues.00066.au,4.259711532,7.306189618,-10.27845137
58,metal.00095.au,37.45195513,11.19231886,-10.8167888
59,hiphop.00057.au,9.555196524,-1.677574871,-2.962848182
60,reggae.00027.au,-21.83792769,-6.160371787,-6.791166111
61,reggae.00082.au,19.51081712,0.762258061,22.30482226
62,hiphop.00023.au,34.13593092,12.17622521,-10.63052697
63,hiphop.00003.au,37.45183339,8.321709067,-12.16702693
64,pop.00030.au,59.36173478,-1.235307395,-8.831202262
